,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,player_name
149,57,352,2018,6:30,1.21,2.39,0.02,0.21,0.3,0.37,0.49,1.58,2.07,0.98,0.16,0.44,0.54,1.19,2.74,0.507,0.083,0.81,Kyle O'Quinn
150,66,353,2018,9:00,1.02,2.39,0.42,1.35,0.36,0.59,0.36,0.94,1.3,0.35,0.15,0.06,0.29,0.65,2.82,0.424,0.315,0.615,Semi Ojeleye
151,71,361,2018,12:22,1.2,2.72,0.0,0.06,1.37,1.75,1.39,2.34,3.73,1.28,0.44,0.24,0.8,2.13,3.76,0.44,0.0,0.782,Zaza Pachulia
152,58,367,2018,32:00,5.21,12.41,2.19,6.12,3.02,3.5,0.62,3.97,4.59,8.16,1.97,0.31,2.6,2.52,15.62,0.419,0.358,0.862,Chris Paul
153,23,370,2018,9:11,1.09,3.17,0.52,2.0,0.83,0.96,0.17,1.39,1.57,0.91,0.26,0.0,0.78,0.65,3.52,0.342,0.261,0.864,Theo Pinson
154,82,371,2018,21:06,3.2,5.39,0.02,0.13,1.35,2.41,2.02,4.38,6.4,2.96,0.79,0.93,1.55,3.07,7.77,0.593,0.182,0.561,Mason Plumlee
155,77,373,2018,16:31,2.43,3.77,0.0,0.0,0.64,1.19,2.31,3.03,5.34,1.21,0.36,0.9,0.62,1.61,5.49,0.645,0.0,0.533,Jakob Poeltl
156,67,374,2018,4:21,0.43,0.87,0.09,0.27,0.51,0.63,0.12,0.57,0.69,0.36,0.16,0.01,0.19,0.36,1.46,0.5,0.333,0.81,Quincy Pondexter
157,60,380,2018,18:46,3.22,6.67,1.13,2.83,1.03,1.25,0.27,2.07,2.33,1.52,0.65,0.22,1.08,1.6,8.6,0.483,0.4,0.827,Norman Powell
158,76,389,2018,31:18,5.95,13.53,3.16,7.96,2.99,3.34,0.26,2.17,2.43,2.71,0.42,0.21,1.3,1.7,18.04,0.44,0.397,0.894,JJ Redick
159,78,393,2018,25:59,2.97,7.33,1.33,4.19,0.64,1.22,0.33,1.74,2.08,2.14,0.6,0.29,0.87,2.65,7.92,0.406,0.318,0.526,Austin Rivers
160,38,398,2018,8:26,1.16,2.89,0.47,1.5,0.16,0.24,0.08,0.97,1.05,0.5,0.29,0.08,0.32,1.21,2.95,0.4,0.316,0.667,Jerome Robinson
161,81,402,2018,26:32,5.43,12.68,2.68,6.99,1.56,1.78,0.33,3.12,3.46,1.67,0.89,0.36,1.11,1.47,15.1,0.428,0.383,0.875,Terrence Ross
162,79,403,2018,22:40,3.27,8.42,1.51,4.27,0.92,1.18,0.41,3.48,3.89,2.92,0.86,0.25,0.87,1.28,8.96,0.388,0.353,0.785,Terry Rozier
163,68,404,2018,27:55,4.34,10.74,1.16,3.74,2.87,3.35,0.47,3.09,3.56,6.12,1.35,0.15,2.65,2.65,12.71,0.404,0.311,0.855,Ricky Rubio
164,81,405,2018,30:13,8.14,18.73,2.89,7.84,1.98,2.53,0.65,3.23,3.89,6.95,1.22,0.25,3.12,1.74,21.14,0.434,0.369,0.78,D'Angelo Russell
165,75,406,2018,24:30,5.51,9.35,0.12,0.23,2.77,3.88,2.49,6.73,9.23,2.83,0.64,0.4,2.13,3.19,13.91,0.589,0.529,0.715,Domantas Sabonis
