,Player,Predicted Height (cm),Actual Height (cm)
28,Michael Carter-Williams,193.88666666666666,195.58
47,Wayne Ellington,196.00333333333333,193.04
104,Enes Kanter,209.12666666666667,208.28
126,Wesley Matthews,198.96666666666667,193.04
131,Jodie Meeks,193.04,193.04
137,Greg Monroe,208.70333333333335,210.82
139,Markieff Morris,204.47,203.0
204,Andrew Bogut,207.01,213.36
205,Donatas Motiejunas,206.16333333333333,213.36
206,Eric Moreland,207.01,208.28
209,Malcolm Miller,204.89333333333332,200.66
